id,gender,car_owner,propert_owner,children,income,type_income,education,marital_status,housing_type,age,days_employed,mobile_phone,work_phone,phone,email_id,type_occupation,family_members
5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50,19,1,1,0,0,Laborers,2
5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,31,0,1,1,1,0,High skill tech staff,1
5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26,2,1,0,0,0,Laborers,3
5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26,2,1,0,0,0,Laborers,3
5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28,1,1,0,0,1,IT staff,2
5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28,1,1,0,0,1,IT staff,2
5052877,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49,9,1,0,0,0,Drivers,2
5052879,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49,9,1,0,0,0,Drivers,2
5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49,9,1,0,0,0,Drivers,2
5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51,5,1,1,0,0,Managers,2
5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,44,3,1,0,0,0,Drivers,3
5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,44,3,1,0,0,0,Drivers,1
5054524,F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,45,22,1,0,0,0,Unknown,4
5054525,F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,45,22,1,0,0,0,Unknown,4
5058345,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67,1000,1,0,0,0,Unknown,1
5058350,M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67,1000,1,0,0,0,Unknown,1
5058352,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67,1000,1,0,0,0,Unknown,1
5058530,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25,1,1,0,0,0,Sales staff,1
5058531,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25,1,1,0,0,0,Sales staff,1
5058532,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,42,1,1,0,0,0,Sales staff,1
5061360,M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,57,1000,1,0,0,0,Unknown,2
5061396,M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,64,1000,1,0,0,0,Unknown,2
5061636,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59,1000,1,0,1,0,Unknown,2
5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,24,4,1,0,0,1,Waiters/barmen staff,3
5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,35,0,1,0,0,0,Laborers,2
5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,41,10,1,0,0,0,High skill tech staff,2
5065462,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52,4,1,0,0,0,Unknown,2
5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,26,7,1,0,0,0,Laborers,3
5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,38,0,1,0,1,0,Sales staff,2
5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,7,1,0,0,0,Unknown,2
5068651,Unknown,Y,Y,0,360000.0,State servant,Higher education,Separated,House / apartment,52,5,1,0,0,0,Core staff,1
5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,30,4,1,1,0,0,Accountants,2
5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,30,4,1,1,0,0,Accountants,2
5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,42,3,1,0,0,0,Core staff,2
5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39,13,1,0,0,0,High skill tech staff,4
5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,33,9,1,1,0,0,Unknown,3
5078946,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,33,9,1,1,0,0,Unknown,3
5079166,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,37,3,1,0,0,0,Laborers,2
5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,37,3,1,0,0,0,Laborers,2
5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,37,3,1,0,0,0,Laborers,2
5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,51,3,1,0,0,0,Managers,2
5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,55,6,1,1,1,0,Accountants,2
5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,34,5,1,0,0,0,Unknown,3
5090166,F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42,2,1,0,0,0,Security staff,2
5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29,0,1,0,0,0,Laborers,2
5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29,0,1,0,0,0,Laborers,2
5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,47,1,1,0,0,0,Laborers,4
5092245,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60,1000,1,0,0,0,Unknown,2
5092479,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,41,18,1,0,0,0,Core staff,3
5096527,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,54,1,1,0,0,0,Core staff,1
5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,54,1,1,0,0,0,Core staff,1
5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,46,6,1,1,1,0,Cleaning staff,1
5097065,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,51,22,1,0,0,0,Managers,2
5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,44,1,1,0,0,0,Laborers,1
5105045,M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,62,1000,1,0,0,0,Unknown,1
5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54,19,1,0,0,0,Medicine staff,2
5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,53,0,1,0,0,0,Security staff,1
5113933,F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,63,1000,1,0,1,0,Unknown,1
5113944,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63,1000,1,0,1,0,Unknown,2
5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31,4,1,1,1,0,Unknown,3
5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31,4,1,1,1,0,Unknown,3
5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,39,9,1,0,0,0,Core staff,2
5115606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,39,9,1,0,0,0,Core staff,2
5115608,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,39,9,1,0,0,0,Core staff,2
5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,39,9,1,0,0,0,Core staff,2
5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,39,9,1,0,0,0,Core staff,2
5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,39,2,1,1,0,0,Managers,1
5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,39,2,1,1,0,0,Managers,1
5116258,F,N,Y,4,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,47,20,1,0,0,0,Core staff,6
5116301,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62,1000,1,0,0,0,Unknown,2
5116302,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62,1000,1,0,0,0,Unknown,2
5116304,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62,1000,1,0,0,0,Unknown,2
5116906,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,41,20,1,0,0,0,Core staff,2
5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,35,10,1,1,1,0,Laborers,3
5117413,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,61,1000,1,0,1,0,Unknown,1
5118046,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,65,1000,1,0,1,0,Unknown,1
5118275,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,58,1000,1,0,0,0,Unknown,2
5118278,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,58,1000,1,0,0,0,Unknown,2
5118279,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,58,1000,1,0,0,0,Unknown,2
5118280,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,58,1000,1,0,0,0,Unknown,2
5118283,M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,58,1000,1,0,0,0,Unknown,2
5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,49,2,1,0,1,0,Laborers,2
5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,38,0,1,0,0,0,Laborers,2
5125299,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57,1000,1,0,0,0,Unknown,2
5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,44,1,1,0,1,0,High skill tech staff,2
5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,44,1,1,0,1,0,High skill tech staff,2
5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,49,4,1,0,0,0,Cooking staff,1
5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,35,4,1,0,1,0,Laborers,3
5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,27,5,1,1,0,0,Sales staff,4
5126278,Unknown,N,N,0,162000.0,Pensioner,Secondary / secondary special,Married,House / apartment,58,1000,1,0,0,0,Unknown,2
5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55,1,1,0,0,0,Security staff,2
5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55,1,1,0,0,0,Security staff,2
5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55,1,1,0,0,0,Security staff,2
5135485,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29,5,1,0,0,0,Core staff,1
5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29,5,1,0,0,0,Core staff,1
5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,51,2,1,1,1,0,Laborers,2
5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,28,2,1,0,0,0,Managers,2
5135991,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,28,2,1,0,0,0,Managers,2
5142184,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,48,11,1,1,1,0,Managers,4
5142185,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,48,11,1,1,1,0,Managers,4
5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44,2,1,1,1,0,Drivers,3
5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44,2,1,1,1,0,Drivers,3
5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,51,1,1,0,1,0,Core staff,1
5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,51,1,1,0,1,0,Core staff,1
5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,51,1,1,0,1,0,Core staff,1
5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,35,6,1,0,0,1,Laborers,3
5145690,F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,59,1000,1,0,0,0,Unknown,2
5145817,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60,1000,1,0,0,0,Unknown,2
5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,27,0,1,0,0,1,Managers,1
5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,34,3,1,1,1,0,Sales staff,3
5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,55,4,1,0,0,0,Security staff,2
5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,39,2,1,0,1,0,Managers,1
5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47,2,1,0,0,0,Security staff,2
5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47,2,1,0,0,0,Security staff,2
5149188,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,26,1,1,0,1,1,Core staff,3
5149190,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,26,1,1,0,1,1,Core staff,3
5149192,Unknown,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,26,1,1,0,1,1,Core staff,3
5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,47,6,1,0,0,0,Managers,2
5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,33,3,1,0,1,1,Medicine staff,2
5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,33,3,1,0,1,1,Medicine staff,2
5118538,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,43,17,1,1,1,0,Cleaning staff,3
5069057,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48,6,1,0,0,0,Laborers,2
5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,35,0,1,0,1,1,Sales staff,2
5086062,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,56,25,1,0,1,0,Core staff,2
5113717,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,44,8,1,0,0,1,Private service staff,3
5066765,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39,8,1,0,0,0,Sales staff,3
5105227,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,47,5,1,0,0,0,Laborers,2
5054648,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,66,1000,1,0,0,0,Unknown,1
5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,31,2,1,1,0,0,Core staff,2
5105818,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60,1000,1,0,1,0,Unknown,2
5125478,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,56,1000,1,0,0,0,Unknown,2
5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,28,4,1,1,0,0,Unknown,3
5054058,Unknown,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,41,12,1,0,1,0,Managers,3
5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,58,4,1,0,0,1,Core staff,2
5065764,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,40,1,1,0,0,0,Unknown,1
5067849,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,40,1,1,0,0,0,Unknown,1
5097169,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,29,2,1,0,0,0,Sales staff,1
5048583,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,59,1000,1,0,0,0,Unknown,2
5115566,M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,45,1000,1,0,0,0,Unknown,2
5052722,F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,59,1000,1,0,0,0,Unknown,2
5067723,F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,34,7,1,0,0,0,Unknown,2
5056077,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,33,4,1,0,0,0,Core staff,2
5022275,M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,64,1000,1,0,0,0,Unknown,2
5143016,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,39,8,1,0,0,0,Laborers,2
5066709,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,67,1000,1,0,0,0,Unknown,1
5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,36,14,1,1,1,0,Core staff,2
5053592,F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,48,8,1,0,1,0,Unknown,2
5116163,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,27,0,1,0,0,0,Security staff,4
5041273,M,N,Y,0,445500.0,Commercial associate,Higher education,Separated,House / apartment,52,6,1,0,0,0,Unknown,1
5066627,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,42,1,1,0,0,0,Unknown,2
5125399,M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,27,2,1,0,0,0,Laborers,2
5067345,F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45,2,1,0,1,0,Unknown,2
5053711,F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,35,3,1,0,0,1,Unknown,4
5096234,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,46,20,1,1,1,0,Medicine staff,2
5125158,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,32,4,1,0,0,0,Laborers,3
5143231,F,Y,Y,1,1575000.0,Commercial associate,Higher education,Single / not married,House / apartment,27,6,1,0,0,0,Managers,2
5062688,M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,Municipal apartment,55,2,1,1,0,1,High skill tech staff,2
5105685,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,38,7,1,1,1,0,Private service staff,4
5115984,M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,36,6,1,0,0,0,Managers,4
5065363,F,N,Y,1,216000.0,Working,Higher education,Single / not married,House / apartment,28,4,1,0,1,0,Core staff,2
5140074,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41,1,1,0,0,0,Core staff,2
5067643,F,N,Y,0,171000.0,Pensioner,Higher education,Married,House / apartment,54,1000,1,0,0,0,Unknown,2
5091963,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,51,3,1,1,0,0,Drivers,2
5053637,F,N,N,0,225000.0,Pensioner,Higher education,Separated,House / apartment,60,1000,1,0,0,0,Unknown,1
5067149,M,N,N,2,225000.0,Working,Incomplete higher,Married,House / apartment,38,0,1,0,0,0,Unknown,4
5096424,M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House / apartment,31,6,1,0,1,0,Unknown,1
5046283,F,N,Y,0,67050.0,Pensioner,Higher education,Married,House / apartment,66,1000,1,0,0,0,Unknown,2
5029348,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,29,1,1,0,0,0,Drivers,2
5096061,F,N,N,2,73350.0,Working,Secondary / secondary special,Married,House / apartment,39,19,1,0,0,0,Medicine staff,4
5028917,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47,4,1,0,0,0,Sales staff,2
5117778,F,Y,N,0,144000.0,Working,Secondary / secondary special,Widow,House / apartment,39,3,1,0,0,0,HR staff,1
5095310,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,33,10,1,0,0,0,Core staff,2
5050655,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,40,2,1,1,1,0,Accountants,2
5033817,F,Y,N,1,292500.0,State servant,Higher education,Married,House / apartment,43,7,1,0,1,0,Core staff,3
5052963,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,27,7,1,0,0,0,Laborers,2
5113159,M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,27,5,1,1,0,0,Laborers,1
5143235,F,Y,Y,1,1575000.0,Commercial associate,Higher education,Single / not married,House / apartment,27,6,1,0,0,0,Managers,2
5132800,F,N,Y,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,50,4,1,0,0,0,Sales staff,1
5090549,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,41,6,1,0,0,0,Unknown,2
5054522,F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,27,6,1,0,0,0,Unknown,3
5051061,F,N,N,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,32,3,1,0,1,0,Unknown,4
